title,category,content
Mendes PDTT dorong ketahanan pangan di kawasan transmigrasi,Humaniora, penyelenggaraan transmigrasi harus mampu membangun kolaborasi dan integrasi yang kuat antar stakeholder pemangku kepentingan yang bersifat lintas sektorMamuju Menteri Desa Pembangun Daerah Tertinggal dan Transmigrasi Abdul Halim Iskandar mendorong pengembangan ketahanan pangan di kawasan transmigrasi Hal itu disampaikan Abdul Halim pada puncak peringatan Hari Bakti Ke Transmigrasi HBT yang dipusatkan di Kabupaten Mamuju Provinsi Sulawesi Barat Sabtu Tujuan utama pengembangan ketahanan pangan di kawasan transmigrasi kata dia meningkatkan produktivitas dan indeks pertanaman membangun model sentra lumbung pangan kawasan transmigrasi serta optimalisasi pengelolaan lahan produktif pola partisipatif dan kolaborasi Selain itu program pemulihan ekonomi nasional di kawasan transmigrasi juga sebagai salah satu upaya pemerintah untuk mengurangi dampak COVID terhadap perekonomian nasional tutur Abdul Halim Hari Bakti Ke Transmigrasi HBT yang digelar setiap Desember tersebut pada tahun ini dilaksanakan secara berbeda karena harus secara sederhana dan menerapkan protokol kesehatan yang ketat meski tak mengurangi hikmat upacara Hari Bakti Ke Transmigrasi tahun ini mengangkat tema Revitalisasi dan Modernisasi Transmigrasi Mendukung Ketahanan Pangan Nasional Mendes PDTT menyampaikan bahwa Hari Bakti Ke Transmigrasi sebagai momentum refleksi bersama untuk kemajuan kebangkitan serta kemaslahatan Indonesia khususnya transmigran yang tersebar di beberapa pulau di Indonesia Upacara ini tak hanya menjadi rutinitas tahunan dan sebatas seremonial belaka namun juga dijadikan bagian dari aktivitas penghormatan penghargaan serta apresiasi kita terhadap para pelaku tokoh transmigrasi ujar Abdul Halim Ia mengatakan kontribusi positif dari program transmigrasi yakni membuka keterisolasian daerah tertinggal Hasilnya sebanyak satuan permukiman dari kawasan transmigrasi telah terbangun Salah satunya Provinsi Sulawesi Barat yang lahir dari lokasi transmigrasi Kabupaten Mamuju juga termasuk pioner dalam penempatan transmigrasi terangnya Ia menyatakan bangga melihat perkembangan kawasan transmigrasi di Mamuju Ia memberikan apresiasi yang tinggi kepada semua pihak atas dukungan dari pemerintah provinsi pemerintah kabupaten kementerian dan pemangku kepentingan lainnya karena telah berkontribusi dan berkolaborasi melalui penggerakan kawasan transmigrasi Di antaranya telah berkembang menjadi pusat pertumbuhan baru berupa desa definitif bekas SP Satuan Pemukiman transmigrasi berkembang menjadi ibu kota kecamatan bekas SP mendukung ibu kota kabupaten serta dua ibu kota provinsi salah satunya adalah Sulbar kata mantan Ketua DPRD Jawa Timur tersebut Ia berharap ke depannya program transmigrasi dibarengi dengan modernisasi hingga mampu mengembangkan kawasan sebagai daerah yang lebih produktif berdaya saing maju serta menjelma menjadi lumbung lumbung pangan demi menyukseskan program ketahanan pangan nasional Untuk itulah penyelenggaraan transmigrasi harus mampu membangun kolaborasi dan integrasi yang kuat antar stakeholder pemangku kepentingan yang bersifat lintas sektor sebagai mana telah diatur dalam Perpres Nomor Tahun katanya Dalam rangkaian upacara Hari Bakti Ke Transmigrasi itu ia juga menyerahkan bantuan pangan dan kesehatan berupa multivitamin serta alat kesehatan untuk penanganan COVID di antaranya penyanitasi tangan sabun cuci tangan disinfektan kepada masyarakat secara langsung hingga kepada instansi serta pembagian sertifikat lahan transmigrasi sebanyak bidang Kegiatan itu juga dimeriahkan pameran BUMDes dan Himpunan Wirausaha Transmigrasi di halaman Kantor Gubernur Sulawesi Barat Puncak peringatan HBT juga diisi sosialisasi prioritas Dana Desa di Hotel Maleo serta pemotongan tumpeng sebagai rasa syukur karena kawasan transmigrasi dicanangkan sebagai penyangga ketahanan pangan nasional melalui program pengembangan food estate berbasis korporasi petani di dua kawasan transmigrasi Provinsi Kalimantan Tengah yaitu Kawasan Lamunti Dadahup di Kabupaten Kapuas dan Kabupaten Pulang Pisau Kunjungan kerja Mendes PDTT Abdul Halim Iskandar ke Kabupaten Mamuju juga didampingi Direktur Jenderal Pengembangan Kawasan Transmigrasi Dirjen PKTrans M Nurdin dan Direktur Jenderal PKP TRANS Hari Pramudiono Menteri Desa Pembangun Daerah Tertinggal dan Transmigrasi Abdul Halim Iskandar tengah didampingi Gubernur Sulbar Ali Baal Masdar kiri saat menyerahkan bantuan pangan dan peralatan kesehatan pencegahan COVID pada puncak peringatan Hari Bakti ke Transmigrasi HBT yang dipusatkan di Kabupaten Mamuju Provinsi Sulawesi Barat Sabtu HO Humas Kemendes PDTT Pewarta AmirullahEditor M Hari Atmoko 
"Hasil beda tipis, Bawaslu awasi penuh penghitungan di Sumbawa",Politik, Jakarta Komisioner Bawaslu RI Rahmat Bagja mengatakan akan mengawasi penuh penghitungan suara Pilkada Kabupaten Sumbawa Nusa Tenggara Barat karena perolehan suara kandidat beda tipis Kita akan mengawasi penuh itu Jangan mudah diintervensi sama orang lain kata Rahmat dalam keterangannya di Jakarta Sabtu Dia mengingatkan para penyelenggara pemilu di Pilkada Kabupaten Sumbawa untuk bersikap profesional independen dalam melakukan rekapitulasi suara Selisih perolehan suara yang sangat tipis untuk posisi pemenang pilkada dan ikut berlaganya adik Gubernur NTB Zulkiflimansyah bisa menimbulkan potensi intervensi terhadap perhitungan suara Bawaslu RI menegaskan agar KPUD dan Bawaslu setempat untuk menindaklanjuti setiap laporan yang diterimanya Perhitungan suara di Sumbawa ditegaskan sudah mendapatkan perhatian dari Bawaslu sejak awal Bahkan kata Rahmat sempat ada beberapa wilayah di Kabupaten Sumbawa yang mendapatkan atensi khusus dari Bawaslu setempat Iya tetap diproses bahkan atensi oleh Bawaslu Sumbawa Adiknya Bang Zul kan Jadi perhatian katanya menyoal keikutsertaan adik Gubernur NTB Zulkiflimansyah Dewi Noviany dalam pilkada ini Berdasarkan data Sirekap KPU sementara pada Sabtu sore Desember dua pasangan calon paslon bersaing ketat Paslon nomor urut Syarafuddin Jarot dan Mokhlis Jarot Mokhlis sementara unggul dengan persen Sementata paslon Mahmud Abdullah dan Dewi Noviany Mo Novi menguntit dengan persen Komisioner KPU RI Hasyim Asyari mengatakan jika ada laporan kesalahan data dalam rekapituliasi suara maka keberatan atau laporan laporan bisa langsung dikoreksi di KPU setempat dengan mekanisme yang ada KPU RI sendiri akan tetap melakukan pendampingan terhadap KPUD yang melaksanakan perhitungan dan rekapitulasi suara pilkada Pemantauan dilakukan baik di tingkat provinsi maupun di tingkat KPU Kota dan Kabupaten yang menggelar Pilkada Istilahnya bukan pemantauan tapi supervisi dan monitoring ujarnya Ia menjelaskan KPU akan melakukan pendampingan dengan turun langsung ke daerah daerah termasuk ke Sumbawa Sementara itu Ketua Bawaslu Abhan mempersilakan paslon yang merasa tidak puas dengan hasil resmi rekapitulasi KPU untuk menempuh jalur hukum Setiap paslon kata dia mempunyai hak untuk menyatakan keberatan terhadap hasil akhir penghitungan surat suara Paslon silakan gunakan jalur jalur hukum Jangan kerahkan massa untuk menyatakan kekecewaan karena kalah bersaing dengan paslon lain ucapnya Permintaan serupa juga disampaikannya untuk paslon yang merasa menang Abhan meminta paslon tidak melakukan selebrasi berlebihan dengan mengumpulkan massa pendukung maupun pesta arak arakan Abhan menegaskan pengerahan massa pendukung sangat berisiko hal ini berpotensi menimbulkan kerumunan hingga para pendukung dikhawatirkan akan terpapar COVID Selain itu riskan pula terjadi benturan antarpendukung Hal ini menurut dia yang harus diperhatikan oleh paslon Paslon harus bisa meredam para pendukungnya Tidak memberi arahan untuk turun ke jalan Jangan sampai terjadi hal yang tidak diinginkan ujarnya Pewarta Boyke Ledy WatraEditor Joko Susilo 
Polisi belum tanya Rizieq soal pelanggaran prokes,Metro, Jakarta Sekretaris Umum Front Pembela Islam FPI Munarman menyebutkan saat ini penyidik Polda Metro Jaya belum menanyakan substansi mengenai dugaan pelanggaran protokol kesehatan pada pemeriksaan yang dijalani M Rizieq Shihab Proses pemeriksaannya tadi baru tahap awal belum masuk ke substansi pemeriksaan dengan pasal yang dituduhkan belum Baru tahap awal identitas domisili kira kira itu kata Munarman di Polda Metro Jaya Sabtu Munarman pun memastikan hasil tes cepat antigen non reaktif milik Rizieq di Polda Metro Jaya maka menepis isu yang menyebutkan pimpinan ormas FPI itu terpapar COVID Ini hasil tes semalam hasilnya negatif beliau satu garis artinya negatif Jadi isu isu selama ini kita buktikan Tadi dites pihak polda hasilnya sama persis seperti ini jadi untuk isu COVID tidak ada Clear bersih ujar Munarman Sebelumnya Rizieq menyerahkan diri ke Mapolda Metro Jaya pada pukul WIB didampingi oleh tim kuasa hukumnya Rizieq mengaku dirinya tidak menyiapkan persiapan khusus untuk menjalani pemeriksaan di Polda Metro Jaya dengan statusnya yang kini sebagai tersangka Persiapan apa enggak ada yang perlu dipersiapkan ditanya kita jawab selesai kan tutur Rizieq Ia pun menjalani tes cepat COVID dengan metode usap antigen dan mendapatkan hasil non reaktif sehingga pemeriksaan pun dilangsungkan Rizieq dianggap menyerahkan diri setelah ditetapkan sebagai tersangka atas kasus kerumunan Petamburan di tengah pandemi COVID dengan jeratan Pasal KUHP dan Pasal KUHP Sementara itu ada lima orang lainnya yang ditetapkan sebagai tersangka dan dijerat Pasal Undang Undang Nomor Tahun tentang Kekarantinaan Kesehatan 
INKA ekspor perdana lokomotif ke Filipina,Ekonomi, Ekspor kali ini merupakan ekspor perdana untuk lokomotif produksi anak bangsaSurabaya PT INKA Persero mengekspor perdana tiga lokomotif beserta gerbong kereta api ke Philippine National Railways PNR Filipina melalui Pelabuhan Tanjung Perak Surabaya Jawa Timur Sabtu Ekspor kali ini merupakan ekspor perdana untuk lokomotif produksi anak bangsa kata Dirut INKA Budi Noviantoro saat melepas pesanan PNR Filipina di Dermaga Jamrud Utara Tanjung Perak Surabaya Jawa Timur Sabtu Ia mengakui INKA pernah mengirimkan produk kereta ke Filipina namun kali ini perdana untuk jenis produk lokomotif Pengiriman ini merupakan kelanjutan kontrak pengadaan senilai juta dolar AS atau Rp miliar yang ditandatangani pada Mei oleh General Manager PNR Junn B Magno dan Direktur Utama INKA Budi Noviantoro di Manila Filipina Budi mengatakan pengiriman tersebut juga menyusul ekspor sebelumnya berupa dua train set diesel multiple unit DMU senilai juta dolar AS atau sekitar Rp miliar pada Desember Selanjutnya pada Februari INKA juga mengekspor empat train set DMU senilai juta dolar AS atau setara Rp miliar Ekspor lokomotif ke Filipina ini merupakan implementasi BUMN Go Global sekaligus membuktikan eksistensi PT INKA melalui ekspor produk kereta api ke luar negeri dan keberlangsungan BUMN di tengah kondisi pandemi COVID kata Budi Direktur Jenderal Industri Logam Mesin Alat Transportasi dan Elektronika Dirjen ILMATE Kementerian Perindustrian Taufiek Bawazier mendorong INKA lebih menguatkan inovasinya dari sistem digitalisasi hingga artificial intelligence Dengan begitu INKA dapat berkompetisi dengan industri kereta api lainnya di luar negeri terutama kawasan ASEAN Maknanya Indonesia akan menjadi kekuatan baru terutama di ASEAN dan masuk ke pasar ASEAN dengan kemampuan inovasi yang ada katanya Taufiek juga mengingatkan ada beberapa segmen pasar yang masih terbuka dan bisa dimasuki INKA dengan produknya seperti di Afrika hingga Asia Tengah atau pasar yang mungkin sulit ditembus Menurut dia besarnya tantangan ini perlu adanya penyiapan sumber daya manusia SDM dan mini factory Artinya tenaga yang dipersiapkan harus dididik mampu memproduksi produk produk INKA di masa mendatang 
Polres Enrekang targetkan bantu 1.000 keluarga terdampak COVID-19,Hukum, Jakarta Polres Enrekang Sulawesi Selatan menargetkan penyaluran bantuan kebutuhan bahan pokok bagi kepala keluarga yang terdampak pandemi COVID Polres Enrekang akan menyalurkan bantuan secara bertahap bagi warga terdampak COVID kata Kapolres Enrekang Ajun Komisaris Besar Polisi Andi Sinjaya Ghalib melalui keterangannya yang diterima di Jakarta Sabtu Pada tahap pertama Andi menyerahkan langsung bantuan kepada warga terdampak virus asal Wuhan China itu di Kelurahan Pusseren dan warga Kelurahan Juppandang Kecamatan Enrekang Andi menyatakan bantuan tersebut menunjukkan Polri peduli terhadap warga yang mengalami kesulitan akibat penyebaran COVID berdampak pada roda perekonomian rakyat Dengan cara ini kami dapat melihat secara langsung kondisi masyarakat kita dimana masih banyak yang membutuhkan bantuan akibat adanya pandemi ini ujar mantan Kasat Reskrim Polres Metro Jakarta Selatan itu Selain bantuan beras Polres Enrekang juga memberikan santunan dalam bentuk uang tunai kepada warga untuk kebutuhan sehari hari Pada kesempatan itu juga AKBP Andi bersama pengurus Bhayangkari Cabang Enrekang memberikan bantuan bahan pokok bagi para istri purnawirawan Polri atau Warakawuri Andi menginginkan jalinan silaturahmi antara pengurus Bhayangkari dengan istri para pensiunan anggota Polri tersebut Saat ini tercatat jumlah kasus COVID di Indonesia mencapai orang pasien sembuh sebanyak dan korban meninggal dunia sekitar orang 
"MNC Finance targetkan pembiayaan tahun depan Rp1,8 triliun",Ekonomi, Kami optimistis dapat berkontribusi dalam hal pemulihan ekonomi nasionalJakarta MNC Finance menargetkan penyaluran pembiayaan pada senilai Rp triliun menyusul optimisme pertumbuhan ekonomi dan pengembangan bisnis ke arah digital Kami optimistis dapat berkontribusi dalam hal pemulihan ekonomi nasional di tahun khususnya di dunia usaha melalui pembiayaan yang akan disalurkan ke masyarakat melalui tiga produk dengan total target pembiayaan Rp triliun kata Direktur Utama MNC Finance Gabriel Mahjudin dalam keterangan di Jakarta Sabtu Gabriel menuturkan rincian dari target tersebut yaitu pembiayaan multiguna MNC Express untuk otomotif Rp miliar pembiayaan multiguna rumah dengan sertifikat Rp miliar dan anjak piutang Rp triliun sehingga total keseluruhan mencapai Rp triliun Kami juga akan melanjutkan program cost efficiency pengembangan kompetensi serta peningkatan produktivitas karyawan dan pengembangan ke arah bisnis digital ujar Gabriel Dalam Rapat Kerja Nasional Rakernas MNC Finance tahun ini Executive Chairman MNC Group Hary Tanoesoedibjo juga memberikan arahan dan menekankan pentingnya MNC Finance memiliki bisnis model yang benar Perusahaan harus menghindari red ocean area yang terlalu kompetitif maupun sunset business serta menghindari area di mana kita tidak memiliki kompetensi dalam bidang tersebut ujar Hary Gabriel menuturkan setiap pengunjung tahun MNC Finance selalu rutin menyelenggarakan rakernas yang dihadiri oleh seluruh karyawan kantor pusat dan cabang Pada tahun ini lanjut Gabriel sedikit berbeda dari tahun tahun sebelumnya dikarenakan kondisi pandemi COVID yang mengharuskan mengikuti ketentuan kenormalan baru serta protokol kesehatan yang menjadikan rakernas diselenggarakan secara virtual Rakernas tersebut diharapkan menjadi sarana untuk menyatukan visi dan sinergi antar departemen ataupun divisi di kantor pusat dengan seluruh personil di cabang untuk mencapai target pertumbuhan perusahaan 
"Satgas: Pasien sembuh COVID-19 capai 501.376, positif 611.631 orang",Humaniora, Jakarta Satuan Tugas Satgas Penanganan COVID melaporkan jumlah akumulasi pasien sembuh COVID mencapai sedangkan kasus positif mencapai orang per Desember pukul WIB Jumlah tersebut didapatkan karena ada penambahan jumlah pasien sembuh COVID sebanyak orang dan penambahan kasus positif dengan jumlah orang Dari keterangan yang diterima Jakarta Sabtu terdapat penambahan kasus kematian akibat COVID yakni orang sehingga total kasus meninggal karena COVID hingga saat ini mencapai orang Satgas juga mencatat sebanyak suspek COVID Dan jumlah spesimen yang selesai diperiksa per hari mencapai spesimen Itu menunjukkan kemampuan Indonesia dalam memeriksa spesimen melalui uji laboratorium semakin meningkat Kasus COVID melanda kabupaten dan kota di provinsi Per Desember di tiap provinsi terdapat penambahan kasus positif COVID Penambahan kasus positif COVID terbanyak di Jawa Barat disusul Jawa Tengah DKI Jakarta Jawa Timur Yogyakarta dan Sulawesi Selatan Sementara penambahan jumlah pasien sembuh COVID terbanyak di Jawa Barat disusul Jakarta Jawa Timur Jawa Tengah dan Riau Secara akumulatif total jumlah kasus positif COVID terbanyak di DKI Jakarta disusul Jawa Timur Jawa tengah dan Jawa Barat Dan jumlah akumulatif pasien sembuh COVID terbanyak di DKI Jakarta disusul Jawa Timur Jawa Barat dan Jawa Tengah satgascovid ingatpesanibujagajarak ingatpesanibupakaimasker 
"BI cetak ""Juleha"" dukung terwujudnya Malang Halal Center",Humaniora, Malang Jawa Timur Kantor Perwakilan Bank Indonesia BI Malang mencetak juru sembelih halal Juleha yang memiliki kompetensi dan bersertifikasi demi mendukung terwujudnya Program Malang Halal Center Selain mendukung Program Malang Halal Center sebagai destinasi wisata dan pengembangan ekonomi syariah kata Kepala Perwakilan BI Malang Azka Subhan Aminurridho di sela penutupan pelatihan Juleha Kota Malang di Balai Besar Pelatihan Peternakan BBPP di Korta Batu Jawa Timur Sabtu Selain itu lanjut Azka juga memberikan dukungan terhadap pengembangan Jawa Timur sebagai kawasan industri halal termasuk di sektor makanan dan minuman mamin halal sesuai program Gubernur Jatim Khofifah Indar Parawansa Sebanyak Juleha dari berbagai lembaga seperti Ponpes Bahrul Maghfiroh dan pengurus Masjid Jami Kota Malang dinyatakan lulus dan mendapatkan sertifikat kompetensi setelah mengikuti Pelatihan Lanjutan dan Uji Kompetensi Juru Sembelih Halal pada Desember di BBPP Batu Sertifikat kompetensi para pejuang daging dang makanan halal itu diserahkan oleh Wakil Wali Kota Malang Sofyan Edy Jarwoko didampingi Kepala Perwakilan BI Malang Azka Subhan Aminurridho dan Kepala BBPP Batu Dr Wasis Sarjono Lebih lanjut Azka menjelaskan pelatihan juru sembelih halal ini diharapkan mampu mendorong tersedianya juru sembelih yang berkompetensi dan profesional menjamin tersedianya daging yang halal serta menciptakan pengembangan halal value chain pada industri pengolahan khususnya untuk pengolahan makanan di Kota Malang Menurut Azka penyembelihan menjadi salah satu faktor pemenuhan kriteria halal serta titik kritis dalam menghasilkan daging yang aman sehat dan sesuai syariah Juru sembelih halal menurut SNI No Tahun adalah orang yang melakukan proses penyembelihan dan telah memenuhi persyaratan perundangan Ke depan BI Malang akan terus bersinergi dengan pemerintah daerah maupun pihak terkait lainnya guna mendukung peningkatan industri halal di Indonesia khususnya wilayah Malang sehingga pada akhirnya mampu mendorong tumbuhnya ekonomi syariah di Tanah Air tuturnya Wakil Wali Kota Malang Sofyan Edy Jarwoko menyampaikan terima kasihnya atas upaya BI Malang dalam mencetak belasan Juleha di daerah itu Kami ucapkan terima kasih kepada Kantor Perwakilan BI Malang dan Pengasuh Pondok Pesantren Bahrul Maghfiroh Malang yang telah melaksanakan pelatihan Juleha ini semoga mimpi kita bersama mewujudkan Malang Halal Center segera terwujud katanya Politikus Partai Golkar itu mengemukakan bahwa Pemkot Malang sudah menyiapkan Pasar Bunul proyek percontohan sebagai pasar halal dimana daging hewan yang dijual semuanya disembelih dengan cara yang toyib Menurut Sofyan Edy pelatihan Juleha yang dilaksanakan dibidani Kantor Perwakilan BI Malang ini adalah langkah strategis karena baru pertama kali dilaksanakan Ia mengaku Malang Halal Center yang digagas sejak dua tahun terakhir tersebut saat ini masih berproses Kita tata semuanya seperti pasar maupun destinasi wisatanya Mudah mudahan dalam waktu dekat ini sudah tuntas ucapnya Sementara itu Kepala BBPP Batu menjelaskan bahwa pelatihan ini sangat bermanfaat khususnya para juru sembelih hewan konsumsi seperti sapi dan kambing Kami ingin terus bekerja sama kita laporkan hal ini kepada Kementerian dan kita akan dukung penuh terwujudnya Malang Halal Center ujar Wasis Pelatihan Juleha ini merupakan kegiatan lanjutan dari pelatihan sebelumnya yang telah dilaksanakan pada September Mengingat saat ini masih dalam kondisi pandemi COVID peserta kegiatan dibatasi orang Pewarta Endang SukarelawatiEditor Zita Meirina 
Mahasiswa UMRAH mewakili Indonesia dalam Pembelajaran di Masa Pandemi,Humaniora, Tanjungpinang Mahasiswa Program Studi Pendidikan Kimia Universitas Maritim Raja Ali Haji UMRAH Kota Tanjungpinang Kepulauan Riau Fachrian Bachri mewakili Indonesia dalam kegiatan Learning Through Pandemi Global Student s View yang diselenggarakan Universitas Teknologi Mara UTM Malaysia Kegiatan Pembelajaran di Masa Pandemi Learning Throught Pandemi yang diselenggarakan UTM Malaysia hari ini tidak hanya memiliki nilai prestise melainkan juga menjadi pengalaman yang berarti dan bermanfaat kata Fachri di Tanjungpinang Sabtu Ia merasa bahagia dapat terpilih menjadi satu satunya wakil Indonesia pada kegiatan tersebut Hal ini merupakan prestasi yang sangat membanggakan mengingat kegiatan tersebut diadakan oleh salah satu universitas ternama di Malaysia Alhamdulillah senang bisa mewakili Indonesia khususnya UMRAH Kita tahu Melati College UTM ini sudah cukup ternama di Malaysia Jadi bisa menjadi prestasi UMRAH dan Indonesia Mungkin nanti bisa membangun relasi dan kerja sama ucapnya Selain dirinya ada mahasiswa lainnya yang berasal dari Jepang Australia dan Brunei Darussalam yang akan menyampaikan pandangannya terhadap pembelajaran pada masa Pandemi COVID Jadi kami perwakilan masing masing negara yakni Jepang Australia Indonesia dan Brunei Darussalam memberikan tanggapannya secara daring terhadap pembelajaran via daring di masing masing negara Kegiatan ini seperti webinar webinar lintas negara kata mahasiswa berprestasi di Kampus UMRAH itu Fachri akan menyampaikan hal hal dalam pembelajaran daring selama masa Pandemi COVID di Indonesia seperti kebijakan kebijakan yang diterbitkan kementerian dan juga keadaan pembelajaran daring di Indonesia saat ini Jadi ada empat hal yang akan saya sampaikan Pertama pembelajaran daring di Indonesia sekarang lalu Merdeka Belajar Kampus Merdeka program pemerintah yang ketiga sistem pembelajaran di UMRAH yaitu SYRAH UMRAH dan peran pemerintah dalam menghadapi pandemi COVID melalui Kementerian Pendidikan Dan Kebudayaan ucapnya Fachri juga mengajak seluruh masyarakat Indonesia khususnya mahasiswa untuk melihat pandangan perwakilan negara lain mengenai pembelajaran daring yang ada di setiap negara pada Chanel YouTube Melayu TVofficial 
Dubes Hermono resmikan restoran Sumatera Utara di Malaysia,Laporan dari Kuala Lumpur, Kuala Lumpur Duta Besar Indonesia untuk Malaysia Hermono Sabtu meresmikan restoran dan kantor Himpunan Masyarakat Sumatera Utara Himasu di Malaysia yang terletak di Jalan D Off Jalan Ipoh Kecil Kuala Lumpur Sabtu Secara simbolis mantan Dubes RI di Madrid Spanyol tersebut memotong pita dan menandatangani plakat sebagai bukti bahwa restoran dan kantor Himasu resmi beroperasi Himasu dideklarasikan pada Agustus lalu yang saat musyawarah pengurus dihadiri langsung mantan Wakil Dubes RI di Kuala Lumpur Krishna KU Hannan Duta Besar Hermono dalam sambutannya mengatakan bahwa inisiatif yang diambil Himasu perlu dijadikan contoh bagi organisasi lain dalam menggerakkan ekonomi kegotongroyongan yang bermanfaat bagi organisasi serta anggotanya Dubes Hermono juga berharap akan semakin banyak ormas Indonesia lainnya yang melakukan inisiatif serupa sehingga dapat membantu pergerakan organisasi menjadi lebih mudah Dan yang terpenting katanya segala peraturan dan perundangan yang berlaku di Malaysia harus selalu dipatuhi Ketua Umum Himasu Adi Pasaribu dalam sambutannya mengatakan bahwa selain menjadi pusat pergerakan organisasi restoran tersebut juga terbuka bagi umum Di tempat ini setiap harinya akan menyajikan masakan khas Sumatera Utara untuk mengobati rindu dengan selera khas Sumatera Utara yang selama ini agak susah ditemukan di Malaysia katanya Acara yang dipandu oleh Tengku Adnan sebagai Wakil Ketua Umum HIMASU itu juga dihadiri oleh Korfung Pensosbud KBRI Kuala Lumpur Yoshi Iskandar Korfung Konsuler Rijal Alhuda Atase Perdagangan Rifah Ariny Sekjend Himasu Tohong Hasibuan Bendahara Umum Himasu Khairudin Siregar beberapa LSM Malaysia serta para pengurus Himasu Malaysia lainnya Sejumlah warga Sumatera Utara yang terlihat di lokasi menyambut antusias dan positif pembukaan restoran tersebut yang bukan hanya bisa menjadi tempat untuk menjamu selera tetapi juga bisa dijadikan pusat berkumpulnya masyarakat Indonesia Bersyukur dengan dibukanya restoran ini karena sejak pandemik COVID sudah lama tidak berkunjung ke Medan dan restoran ini menjadi pengobat rindu untuk dapat menikmati masakan khas Sumatera Utara ujar Eazak Wahab Masker cantik asal Batang yang menembus pasar Malaysia Pewarta Agus SetiawanEditor Tia Mutiasari 
