title,date,category,content
Ombudsman Sebut RS Belum Boleh Buka Pendaftaran Vaksin Covid,,, Jakarta CNN Indonesia Ombudsman RI mengingatkan bahwa rumah sakit belum bisa membuka pendaftaran untuk melakukan vaksinasi Covid sampai saat ini Sebab Komisioner Ombudsman RI Alamsyah Saragih mengatakan pemerintah belum mengeluarkan izin edar serta menetapkan harga vaksin Covid Menurut dia pihaknya akan meminta pihak pengawas rumah sakit untuk memberikan teguran ke rumah sakit yang telah membuka pendaftaran vaksinasi Covid Intinya yang begitu belum bisa dilakukan harga belum jelas harga harus ditetapkan dengan tidak menjadi produk komersial karena pandemi itu bencana itu urusan publik Kita lihat dalam proses review ucapnya Sabtu Lihat juga Bertambah Kasus Positif Covid Jadi Sejumlah rumah sakit diketahui mulai membuka pendaftaran vaksin Covid meskipun vaksinasi belum bisa dilakukan hingga setidaknya tahun Beberapa di antaranya ialah Rumah Sakit Universitas Islam Indonesia RS UII Yogyakarta dan Rumah Sakit Primaya Tangerang Banten Mengutip akun Instagram Rumah Sakit UII pendaftaran vaksin sudah dibuka mulaisaat ini Vaksinasinya sendiri baru dilakukan satu sampai dua bulan dari waktu pendaftaran Saat CNNIndonesia com mengonfirmasi ke nomor call center pihak RS UII petugas menyebut vaksin akan berkisar di harga Rp ribu per orang Pasien pun bisa memilih setidaknya dua merek vaksin yakni Sinovac dan Moderna Lihat juga Erick Thohir Target Vaksinasi Juta Orang dalam Bulan Pasien yang mendaftarkan diri terlebih dahulu akan diprioritaskan ketika vaksinasi siap dilakukan Vaksinasi dilakukan oleh dokter dan kesehatan pasien akan diperiksa terlebih dahulu Sementara pihak humas Rumah Sakit Primaya menyebut pendaftaran vaksin Covid sudah dibuka mulai tiga hari lalu Vaksin bisa dipesan untuk individu maupun korporasi Demikian dikatakan Head of Marketing Corporate Communication Primaya Hospital Group Henie Dewita merujuk pada aturan vaksinasi dalam situs resmi RS Primaya Menurut pihak rumah sakit vaksinasi baru bisa dilakukan setidaknya tahun Pelaksanaan vaksin akan menunggu izin resmi dari pemerintah Lihat juga Luhut Sebut Jokowi Siap Disuntik Vaksin Corona Bareng Rakyat Pihak rumah sakit belum menetapkan harga untuk vaksin tersebut dan akan mengikuti ketentuan lebih lanjut dari pemerintah Pendaftaran dibuka untuk memfasilitasi masyarakat yang ingin diprioritaskan mendapat giliran vaksin Namun belum tentu semua peserta bisa dipastikan mendapat vaksin Untuk itu pemerintah diminta segera menetapkan aturan untuk membatasi diskresi rumah sakit swasta dalam penerapan vaksinasi covid Pengamat kebijakan publik Trubus Rahadiansyah menilai langkah yang dilakukan sejumlah rumah sakit itu sesungguhnya menyalahi aturan mts dea Gambas Video CNN 
"Registrasi UTBK SBMPTN 2021 Dibuka 7 Februari, Digelar April",,, Jakarta CNN Indonesia Ujian Tulis Berbasis Komputer UTBK untuk Seleksi Bersama Masuk Perguruan Tinggi Negeri SBMPTN bakal digelar April Mei SBMPTN adalah seleksi masuk perguruan tinggi yang dilaksanakan melalui tes yang disebut UTBK Untuk mendaftarkan diri sebagai peserta SBMPTN siswa wajib memiliki akun LTMPT Registrasi akun dilakukan Februari Maret melalui https portal ltmpt ac id Lihat juga Registrasi SNMPTN Dibuka Mulai Januari Selanjutnya pendaftaran SBMPTN dilakukan bersamaan dengan pendaftaran UTBK pada Maret April Ketika mendaftar siswa wajib mengisi biodata memilih paling banyak dua prodi di satu atau dua PTN dan melengkapi dokumen yang disyaratkan Untuk mengikuti UTBK peserta akan diminta membayar uang registrasi sebesar Rp ribu untuk kelompok saintek atau soshum dan Rp ribu untuk kelompok campuran Lihat juga Disanksi Usai Laporkan Rektor Mahasiswa Unnes Akan ke PTUN Namun biaya ini dapat disubsidi bagi siswa yang memiliki Kartu Indonesia Pintar KIP Kuliah Untuk pengajuan KIPK dilakukan melalui laman https kip kuliah kemdikbud go id Pelaksanaan UTBK sendiri akan dilakukan dalam dua gelombang yakni gelombang pertama pada April dan gelombang kedua pada April Mei Hasil UTBK dan SBMPTN diumumkan pada Juni UTBK pada SBMPTN terdiri dari dua jenis pengujian yakni tes potensi skolastik TPS dan tes kompetensi akademik TKA Lihat juga Daftar Kampus Berkelanjutan Menurut UI GreenMetric TPS dilaksanakan untuk menguji kemampuan bernalar pemahaman umum hingga pemahaman membaca dan menulis Sedang TKA untuk mengukur pengetahuan dan pemahaman keilmuan yang diajarkan di sekolah Ada tiga pilihan kelompok ujian pada UTBK yakni Saintek dan Soshum dengan alokasi waktu ujian menit dan campuran keduanya dengan alokasi waktu menit Berikut rincian jadwal pelaksanaan UTBK SBMPTN Registrasi akun LTMPT Februari Maret Pendaftaran UTBK dan SBMPTN Maret April Pelaksanaan UTBK Gelombang April Gelombang April Mei Pengumuman hasil SBMPTN Juni pukul WIB fey dea Gambas Video CNN 
Korea Selatan Catat Kenaikan Tertinggi Kasus Baru Covid-19,,, Jakarta CNN Indonesia Kasus Covid di Korea Selatan Korsel kembali melonjak Negeri ginseng mencatatkan penambahan kasus baru harian tertinggi pada Sabtu Data resmi Badan Pengendalian dan Pencegahan Penyakit Korsel mencatat kasus Covid baru pada akhir pekan ini Padahal beberapa hari terakhir penambahan jumlah kasus baru masih berada di angka hingga kasus Penambahan kasus baru paling banyak terjadi di ibukota Seoul yaitu sebanyak kasus dari kasus Penambahan ini membuat total kasus di Korsel mencapai lebih dari kasus Lihat juga AS dan Negara Lain Kecam Pelanggaran HAM di Korea Utara Presiden Korsel Moon Jae in menyebut situasi ini sangat parah Pasalnya pemerintah Korsel sudah memperketat aturan menjaga jarak sosial pada awal pekan ini Ini adalah rintangan terakhir sebelum peluncuran vaksin dan perawatan kata Presiden Moon Jae in dalam sebuah pernyataan dikutip dari AFP Moon Jae in menyatakan pemerintah akan berupaya untuk menyetop penyebaran Covid di Negeri Ginseng itu Lihat juga AS Sahkan Vaksin Pfizer Tiga Juta Orang Disuntik di Desember Pemerintah akan melakukan upaya maksimal dengan menggunakan kekuasaan administratif penuh ucap Moon Jae in Sebanyak pusat pengujian tambahan akan didirikan di kawasan dengan pergerakan orang yang padat seperti stasiun kereta Pemerintah Korsel akan terus melanjutkan larangan pertemuan lebih dari orang dan melarang penonton di acara olahraga Selain itu kafe hanya bisa melayani take away sedangkan restoran harus tutup pada pukul malam ptj sfr 
Menhub Ground-Breaking Dua Proyek Pelabuhan di Bali,,, Jakarta CNN Indonesia Menteri Perhubungan Menhub Budi Karya Sumadi melakukan peletakan batu pertama groundbreaking untuk pembangunan Pelabuhan Sanur Kota Denpasar dan Pelabuhan Bias Munjul Kabupaten Klungkung Bali Kami berharap dengan nantinya di bangun pelabuhan tersebut akan dapat memajukan pembangunan di Kecamatan Nusa Penida Klungkung Termasuk juga memperlancar transportasi laut antara Bali daratan dengan kepulauan Nusa Penida ujar Budi dikutip dari Antara Sabtu Pembangunan kedua pelabuhan memakan anggaran Rp miliar dan sepenuhnya dibiayai dari Anggaran Pendapatan Belanja Negara APBN Anggaran itu mencakup pembangunan tiga pelabuhan yakni dua di Kecamatan Nusa Penida dan satu pelabuhan di Sanur Kota Denpasar Dana digunakan untuk dua tahun anggaran dan Lihat juga Jokowi Telepon Elon Musk Tawarkan Tesla Investasi di RI Ia juga berharap dengan pembangunan pelabuhan tersebut masyarakat yang akan bepergian tidak lagi turun ke pantai Saat ini warga harus turun ke pantai dan menerobos gelombang untuk menuju kapal cepat boat turun ke pantai dan menerobos gelombang Padahal Nusa Penida adalah salah satu objek wisata yang terkenal di Bali Pembangunan pelabuhan di tiga lokasi ini akan memberi kenyamanan kepada masyarakat maupun wisatawan yang akan berkunjung ke Nusa Penida Sebab kawasan pelabuhan ini didesain atau rancang bangun sesuai dengan kondisi pelabuhan yang mengacu pada budaya setempat katanya Dalam kesempatan yang sama Gubernur Bali Wayan Koster mengatakan pelabuhan ini sangat penting bagi kemajuan di Nusa Penida dan Bali pada umumnya Jika ombak gede naik speed boat harus digendong Saya lihat ibu ibu yang membawa sesaji akan sembahyang di Pura Ratu Gede Dalem Peed Kondisi ini menjadi pemandangan sejak dahulu kata Koster Lihat juga Tol Laut Diklaim Bikin Harga Barang Lebih Murah Persen Menurut Koster setidaknya ada tiga alasan pembangunan pelabuhan ini Pertama pelabuhan merupakan penyeberangan yang diperlukan untuk upacara adat di Pura Dalem Peed Kedua pelabuhan menjadi pusat lalu lintas warga Denpasar dan Bali pada umumnya dan warga Nusa Penida yang sering bolak balik Ketiga kunjungan wisatawan makin tinggi ke Nusa Penida Kalau yang lewat tempat ini Sanur lima ribu sampai enam ribu orang lebih dalam sehari Bayangkan kalau semua harus menaikkan celana atau buka sepatu ucap Koster Adapun total anggaran untuk pembangunan Pelabuhan Sanur yakni Rp miliar Pelabuhan Sampalan Nusa Penida sebesar Rp miliar dan Pelabuhan Bias Munjul di Nusa Ceningan sekitar Rp miliar lebih Nusa Penida dan Nusa Ceningan selesai akhir sedangkan Sanur selesai tahun Karena lebih luas dan desain khusus ujarnya Gambas Video CNN sfr 
Kisah UMKM Raup Untung 700 Persen di Tengah Pandemi,,, Jakarta CNN Indonesia Pandemi Covid diakui menimbulkan perlambatan aktivitas ekonomi Pemerintah berusaha mengantisipasi dengan meluncurkan berbagai program dalam rangka pemulihan ekonomi nasional Namun bantuan saja tidak cukup Diperlukan juga kreativitas dan inovasi dari pelaku Usaha Makro Kecil dan Menengah UMKM seperti yang dilakukan oleh Muhammad Luqman Baehaqi pendiri Komunitas PRAKARDUS Sebagai kepala keluarga yang terdampak Covid menurut Luqman masa pandemi dan anjuran untuk tetap tinggal di rumah justru menumbuhkan usaha kecilnya Bahkan penghasilannya meningkat hingga persen alias tujuh kali lipat Ia mengungkapkan dirinya mengambil langkah C dalam berkreasi dan melakukan terobosan usaha C itu mencakup community contemplate cleanliness dan care Empat hal ini bisa saya dapatkan di masa pandemi dan menjadi berkah yang luar biasa Awalnya berkreasi dengan kardus ini sebagai solusi untuk memberi kegiatan sekaligus hiburan pada anak karena rumahnya jauh dari pusat hiburan seperti mall Kemudian berlanjut memberi workshop tiap akhir minggu namun harus berhenti karena pandemi kata Luqman dalam Dialog Produktif bertema Pandemi Tak Halangi Kreasi yang digelar Komite Penanganan Covid dan Pemulihan Ekonomi Nasional KPCPEN pada Jumat Ketika tidak memberi workshop dan banyak menghabiskan waktu di rumah Luqman memilih belajar Dari sana ia membuat situs untuk PRAKARDUS Format awal workshop pun berubah menjadi shop di mana Luqman menjual hasil prakarya dari kardus dan membuat pendapatannya meningkat berkali kali lipat Dulu kan hanya setiap weekend saja Sekarang jadi bisa setiap hari ada pendapatan dari penjualan lewat website tutur Luqman sambil tersenyum rea 
"Man United vs Man City, Duel Potensi Banyak Penalti",,, Jakarta CNN Indonesia Laga Manchester United vs Manchester City Minggu dini hari waktu Indonesia berpotensi menghasilkan gol penalti dan menguntungkan eksekutor penalti seperti Bruno Fernandes atau Kevin De Bruyne Dua kesebelasan asal Manchester memiliki permasalahan di lini pertahanan Selain kesalahan yang langsung berujung gol ada pula keteledoran keteledoran yang membuat lawan mendapat penalti Lihat juga Babak Belur Man Utd di Derby Manchester Man United sudah kebobolan empat penalti dalam empat laga berbeda Dalam empat laga tersebut David de Gea tidak mampu menghalau penalti Tiga dari empat laga di mana The Red Devils kebobolan penalti berujung pada kekalahan termasuk ketika kalah dari Crystal Palace Tottenham Hotspur dan Arsenal Kebetulan tiga kekalahan yang mengandung tiga penalti tersebut terjadi di Old Trafford Sementara Man City juga memiliki kerentanan di belakang Sama seperti si tetangga The Citizens juga kecolongan empat gol penalti musim ini Kevin De Bruyne mengeksekusi penalti ketika Manchester City melawan Liverpool Clive Brunskill Pool via AP Dalam kekalahan dari Leicester City gawang Ederson dibobol tiga kali dari titik putih Sementara satu gol penalti yang bersarang di gawang Ederson dilesakkan Mohamed Salah ketika Man City bermain imbang dengan Liverpool Sebaliknya Man United juga mendapat empat penalti selama musim ini berlangsung dan Man City memperoleh tiga kesempatan dari titik meter Lihat juga Joshua dan Pulev Adu Jotos Usai Timbang Badan Bruno Fernandes yang menjadi algojo andalan Man United melesakkan tiga gol dan satu kali gagal sementara Kevin de Bruyne yang dipercaya The Citizens sukses dalam dua kesempatan dan sekali gagal menunaikan tugas Dengan penggunaan teknologi video assistant referee VAR pemain pemain yang berada di kotak harus benar benar cermat dalam melakukan tekel atau merebut bola agar tidak mengundang penalti di derby Manchester yang bisa berujung kegagalan meraih poin nva nva Gambas Video CNN 
Momen Tepat Atletico Hancurkan Madrid,,, Jakarta CNN Indonesia Atletico Madrid memiliki catatan yang lebih bagus ketimbang Real Madrid pada awal musim ini sehingga Los Colchoneros punya kans meraih kemenangan langka di La Liga Spanyol Derby Madrid kali ini menghadirkan Atletico yang tampil solid dan Madrid yang limbung Lihat juga Babak Belur Man Utd di Derby Manchester Anak asuh Diego Simeone kini menempati peringkat teratas di kompetisi domestik Dari laga Atletico tidak pernah mengalami kekalahan dan meraih delapan kemenangan Bertamu ke Stadion Alfredo di Stefano Atletico tetap bisa menempatkan pemain pemain terbaiknya kendati Jose Gimenez Diego Costa dan Manu Sanchez cedera Kedalaman skuad yang dimiliki Los Rojiblancos membuat Simeone bisa berkreasi dengan mengandalkan formasi yang berpeluang mengantarkan mereka meraih poin lanjutan Duel Real Madrid vs Atletico Madrid pada awal AP Photo Hassan Ammar Kinerja pertahanan Atletico bisa menyulitkan Madrid Hanya kebobolan dua gol dari pertandingan menunjukkan permainan bertahan yang apik Sementara Atletico juga memiliki produktivitas gol yang tinggi dengan mencetak gol Luis Suarez dan Joao Felix yang didukung Marcos Llorente bisa menghantui pertahanan Los Blancos Sementara Sergio Ramos bisa menjadi sosok penting bagi El Real dalam melakoni El Derbi Madrileno Kehadiran kembali Ramos bisa meningkatkan mental para pemain lain khususnya di lini pertahanan Madrid mengalami masalah dalam bertahan dengan kebobolan gol dari pertandingan Catatan yang membuat Madrid mendapat sorotan termasuk menjadi titik lemah dalam upaya mempertahankan gelar Lihat juga Prediksi Manchester United vs Manchester City di Liga Inggris Selebihnya Zidane masih mengandalkan pemain pemain yang sudah dikenalnya sejak lama seperti Rafael Varane Luka Modric Toni Kroos Casemiro dan Karim Benzema Jika Madrid bermain sembrono Atletico memiliki kans meraih kemenangan dalam derby Madrid di La Liga Spanyol untuk kali pertama setelah nva jun Gambas Video CNN 
Adu Jotos Usai Timbang Badan Tak Buat Joshua Kecut,,, Jakarta CNN Indonesia Petinju kelas berat Anthony Joshua tidak merasa gentar setelah terlibat dalam adu kekuatan pukulan tangan dengan Kubrat Pulev setelah sesi timbang badan Pemilik sabuk juara WBA IBF WBO dan IBO itu merasa segala ocehan dan perkataan Pulev sekadar bualan semata Lihat juga Joshua dan Pulev Adu Jotos Usai Timbang Badan Dia melontarkan omongan omongan sampah Bertahun tahun saya melihat tinju dan ada petinju yang mengeluarkan omongan omongan sampah dan kemudian mereka kalah kata Joshua Itu tidak mengintimidasi saya Itu bukan masalah Kami sama sama besar kami memiliki pukulan yang berat dan orang yang akan menjadi juara adalah yang terakhir berdiri sambung petinju tahun itu seperti dikutip dari ESPN Sesaat setelah timbang badan keduanya terlibat perang kata kata Joshua bahkan lebih dulu menyodorkan kepalan tangan yang kemudian disambut dengan tinju Pulev ke kepalan tangan Joshua Tiga kali Pulev memukul tangan Joshua kendati sudah coba dipisahkan pihak keamanan Dalam timbang badan diketahui Joshua memiliki berat pound atau sekitar kilogram Sementara Pulev pound yang setara dengan kilogram Joshua untuk kali ketiga mempertaruhkan sabuk juara kelas berat versi WBA Super IBF WBO dan IBO Petinju asal Inggris itu pernah kalah TKO dari Andy Ruiz Jr dalam upaya kedua mempertahankan gelar tersebut pada Juni Namun Joshua kembali meraih empat sabuk juara tersebut setelah menang angka atas Ruiz dalam duel kedua yang berlangsung Desember Lihat juga Babak Belur Man Utd di Derby Manchester Sementara Pulev merupakan petinju veteran asal Bulgaria yang sudah berusia tahun dan pernah meraih gelar juara kelas berat versi WBA Inter Continental dan IBF Joshua dan Pulev sama sama baru merasakan satu kekalahan Kekalahan dari Ruiz tahun lalu merupakan satu satunya noda dalam pertarungan Joshua Sementara Pulev yang sudah kali naik ring dan menderita satu kekalahan dari Wladimir Klitschko pada nva nva Gambas Video CNN 
Penemu WiFi Norman Abramson Meninggal Dunia di Usia 88 Tahun,,, Jakarta CNN Indonesia Salah satu pelopor jaringan tanpa kabel wireless Norman Abramson meninggal dunia pada usia tahun Abramson meninggal setelah berjuang melawan kanker kulit yang telah menyebar ke paru parunya Abramson meninggalkan istri putra serta tiga cucunya mengutip laporan The Verge Sabtu Abramson dikenal sebagai pemimpin sekelompok ilmuwan dan insinyur yang memelopori pengembangan jaringan komputer nirkabel Pria dengan nama lengkap Norman Manuel Abramson ini lahir di Boston pada April dari pasangan Edward dan Esther Abramson Lihat juga Alasan Ponsel Harus Dimatikan saat Pesawat Take off Ayahnya seorang fotografer komersial sedangkan ibunya seorang ibu rumah tangga Ia dibesarkan di lingkungan Dorchester rumah bagi sebagian besar imigran Yahudi Selama bersekolah Abramson sangat unggul pada pelajaran matematika dan sains Ia kemudian melanjutkan pendidikan di Universitas Harvard sembari kursus dengan Howard Aiken seorang ahli matematika dan perintis awal dalam komputasi Di Harvard ia mengambil jurusan fisika dan kemudian mendapat gelar master dari University of California Los Angeles dan gelar doktor pada bidang teknik elektro dari Stanford pada Lihat juga Cara Kerja Mode Incognito Browsing Secara Rahasia Dia sempat bekerja di industri serta memiliki tugas mengajar pasca doktoral sebelum pergi ke Hawaii Dia baru pensiun dari Universitas Hawaii pada Namun pada medio an ia dan kelompoknya mencoba sesuatu yang sangat berguna hingga kini Awalnya ia memulai proyek di Universitas Hawaii Ia merancang kemudahan dalam pengiriman data ke sekolah sekolah di pulau pulau Hawaii yang sangat jauh melalui saluran radio Teknologi yang diciptakan memungkinkan banyak perangkat digital mengirim dan menerima data melalui saluran radio bersama Lihat juga Pakar TI Onno W Purbo Raih Penghargaan Dunia Kemudian solusi yang ia dan kelompoknya ciptakan pada akhir an dan awal an terbukti dapat diterapkan secara luas Jaringan nirkabel di Hawaii lantas mulai beroperasi tahun dan disebut ALOHAnet Teknologi itu kemudian terus dikembangkan dan digunakan pada ponsel pintar satelit serta jaringan internet rumah atau perkantoran yang kini lebih dikenal sebagai WiFi mengutip New York Times ryh dea Gambas Video CNN 
Sumber Energi Masa Depan Selain Matahari Buatan China,,, Jakarta CNN Indonesia Para ilmuwan berlomba lomba untuk meneliti sumber energi alternatif yang ramah lingkungan juga menggantikan energi bahan bakar fosil yang semakin menipis Selain Matahari Buatan yang memanfaatkan reaksi fusi nuklir sedang diteliti para ilmuwan China dan dunia banyak energi alternatif lainnya yang bisa menjadi opsi untuk digunakan di masa depan Berikut beberapa energi alternatif ramah lingkungan yang mungkin bisa digunakan untuk pengganti energi fosil Penyerapan Karbon Batu bara telah lama digunakan manusia sebagai sumber utama energi Namun batu bara menimbulkan emisi karbon yang merusak atmosfer Lihat juga Matahari Buatan Sumber Energi Baru yang Bisa Hancurkan Bumi Berawal dari problem tersebut para ilmuwan mencoba menyerap karbon yang dibuang oleh pembangkit listrik untuk digunakan kembali sebagai sumber energi Harapannya meskipun bukan teknologi pembangkit listrik karbon bisa menjadi sumber untuk energi lainnya Tenaga Nuklir NextGen Konsep reaktor nuklir banyak diteliti oleh para ilmuwan karena dapat menghasilkan energi tak terbatas Ilmuwan di Jepang mencoba membuat reaktor nuklir yang terendam di bawah laut Reaktor NextGen ini diklaim aman dari badai di laut Selain itu karena terendam di dasar laut reaktor lebih mudah didinginkan Energi untuk mendinginkan reaktor juga alami karena hanya menggunakan dinginnya air laut Lihat juga Deretan Masalah di Balik Matahari Buatan China Tenaga Angin Tenaga angin bisa menjadi sumber energi alternatif Para ilmuwan percaya tenaga angin bisa menjanjikan penggunaan dalam lingkup besar untuk tahun ke depan Hal itu karena kemajuan teknologi turbin yang memanfaatkan ilmu aeronautika untuk memperoleh jumlah energi maksimum dari setiap hembusan angin Turbin angin juga akan semakin banyak ditanamkan di negara dengan lepas pantai seperti Denmark Denmark sendiri sudah membuktikan manfaat tenaga angin yang menyediakan sepertiga dari permintaan energi negara itu Instalasi lepas pantai seperti peternakan Anholt turbin yang diselesaikan tahun lalu menyediakan daya sekitar gigawatt cukup untuk memberi daya pada lebih dari juta rumah tangga Panas Bumi Energi geotermal diperkirakan akan meningkat pesat karena para ilmuwan meneliti cara untuk memanfaatkan energi yang berada di dalam inti bumi ini Para peneliti di Islandia telah menghabiskan beberapa tahun mengebor langsung ke gunung berapi untuk mengakses air yang sangat panas dan deposit magma dengan tujuan mengembangkan sumber daya bersuhu tinggi menjadi pembangkit listrik tenaga panas bumi yang jauh lebih produktif Lihat juga Negara Selain China yang Buat Matahari Buatan Teknologi Luar Angkasa Teknologi berbasis ruang angkasa memungkinkan kita memanen hidrogen yang terkandung di sistem tata surya kita untuk menggerakkan energi di bumi atau menyerap sinar matahari langsung sepanjang waktu dan memancarkannya kembali menjadi energi terbarukan seperti dilansir dari CNBC Bahan Bakar Bertenaga Surya Ide untuk mengubah sinar matahari air dan karbondioksida menjadi energi kimia yang dapat digunakan kembali disimpan seperti layaknya bensin telah menjadi impian para ilmuwan di dunia Dilansir dari National Geographic sinar matahari yang jatuh di atas lapisan semikonduktor mendorong elektron menciptakan arus Namun di awal opsi ini membutuhkan biaya besar Beberapa negara maju telah menggunakan energi ini seperti salah satu kota di Jerman Leipzig Bahan bakar matahari melibatkan pengambilan karbon dioksida yang ditangkap dari atmosfer dan memisahkan atom karbon dari molekul tersebut Kemudian dengan memecah atom hidrogen dari air menggunakan karbon dan hidrogen lalu membuat hidrokarbon entitas kimia yang sama yang menyusun bahan bakar fosil yang kita gunakan saat ini Jika peneliti dapat menemukan cara untuk membuat reaksi kimia ini bekerja dalam skala besar mereka akan memiliki cara untuk mengubah energi matahari menjadi media yang dapat disimpan sambil terus mendaur ulang energi surya tersebut mln eks Gambas Video CNN 
